English ,Oshiwambo ,Aa-ndonga ,Aa-kwambi ,Aa-mbalanhu ,Aa-kwaluudhi ,Aa-kwanyama,Aa-ngandjera,Aa-mbandja
good food,Iikulya oiwa ,Iikulya iiwanawa noonkondo,IIkulaya IIwanawa,Iikunya oyiwa neeghono,Iikulya iitoye/iikulya iwanawa,Oikulya inyenye! / Oikulya iwa,Iikulya iitoye/iikulya iwanawa,Oikulya 0inyenye! / Oikulya oiwa
,Tangi unene ,Tangi nene,Tangi uunene,Tang unene,Tangi unene,Tangi unene.,Tangi unene,Tangi unene/onda pandula unene
,Nghi shishi ,Kandi shi wo,Kandi Tshitshi,Kandi shiiii,Kandishiwo/kandishishi,Kandi shi shii,Kandishiwo/kandishishi,Kandi shi shii
,Omeva ,Omeya,Omeya,Omeya,Omeya,"Omeva (often ""omeya"")",Omeya,Omeya
,Oshi yaha,Oshiyaha,Oshaasha,Oshaaha,Oshiyasha,Oshiyaxa,Oshiyasha,Oshiyaxa
,Oku kotha /oku lala,Oku kotha,Oku Koth,Oku kofa,Okukotha,Okukofa,Okukotha,Okukofa
,Okulya,Oku lya ,Oku Lya,Oku lya,Okulya,Okulya,Okulya,Okulya
,Okwiiyoga,Okwiiyoga,Okwiikosha,Okwiikoha,Okwiikosha,Okulikosha,Okwiikosha,Oku ikoha 
,Othewa yokwiiyoga,Othewa Yokwii kosha,Othewa Hokwiikosha,Ofewa yokwiikoha,Othewa yokwikosha,Ofewa (yokulikosha),Othewa yokwikosha,Ofewa (yokwiikoha)
,Elehita,Okalehita,Elehite,Okalehite,Okalehite,Okalexita,Okalehite,Okalexita
,Okakopi,okakopi,Okakopi,Okakopi,Ekopi/okakopi,Okakopi/ okaneka,Ekopi/okakopi,Okakopi/ okaneka
,Ombiila,Ombiila,Ombiila,Ombiila,Ombiila,Obiila,Ombiila,Obiila
,Kwathela,Kwathela,Kwathelandje,Kwafela,Ekwatho,Ekwafo,Ekwatho,Ekwafo
,Oshipatululo,oshipatululo,Otjipatululo/Oshapi,Oshapi,Oshapi/oshipatululo,Oshapi / Oshipatululo,Oshapi/oshipatululo,Oshapi
,Osho woo/natango/ishewe,Natango ,Otjowoo/Natango/Itjewe,Natango,Noshowo/natango/endulula,Natango,Noshowo/natango/endulula,Natango
,Oshithima,Oshimbombo,Otjithima Tjomaangu,Oshikulya,Oshithima,Oshifima / Oifima,Oshithima,Oshifima / Oifima
,Onyama ,Onyama,Onyama,Ombelela,Onyama,Ombelela,Onyama,Ombelela
,Omboga,Omboga,Omboga,Ombivi,Omboga,Ombidi,Omboga,Ombidi
,Omboga ya kukuta,Ekaka,Ehanda,Ekaka,Ehanda,Evanda,Ehanda,Evanda
,Oshikombo,Oshikombo,Otshikombo,Oshikombo,Oshikombo,Oshikombo,Oshikombo,Oshikombo
,Ombelela yongobe ,Onyama yongombe,Onyama hongombe,Ombelela yongombe,Onyama yongombe,Ombelela yongobe,Onyama yongombe,Ombelela yongobe
,Ondjuhwa,Ondjuhwa,Ondjushwa,Ahuhwa,Ondjuhwa,Oxuxwa,Ondjuhwa,Oxuxwa
,Ombwa,ombwa ,Ombwa,Ombwa,Ombwa,Ombwa,Ombwa,Ombwa
,Ohi,Oohi,Oshi,Ohi,Oshii,Oshi,Oshii,Ohi
,Ombuku yomepya,Ombuku,Ombuku,Ohmuku,Ombuku,Omhuku,Ombuku,Omhuku
,Efuma,Efuma,Efuma,Efuma,Efuma,Efuma,Efuma,Efuma
,Osopa,Osopa,Osopa,Osopa,Osopa,Oshopa,Osopa,Oshopa
,Omakoloni,Omakololoni,Omakoloni,Omakoloni,Omakoloni,Omakoloni,Omakoloni,Omakoloni
,Olwiishi,Olwiishi,Olwiishi,Olushi,Olwiishi,Olwiishi,Olwiishi,Olwiishi
,Omagadhi gokulya,Omagadhi,Omagadhi Gokulya,Omaavi,Omagadhi,Omaadi,Omagadhi,Omaadi
,Etama ,Etama,Etama,Etama,Etama,Etama / Edama,Etama,Etama / Enyoto
,Omongwa,Omongwa,Omonga,Omogwa,Omongwa,Omongwa,Omongwa,Omongwa
,Okamboloto komomagadhi,Okakuki,Okakuki,Okakuki,Uukuki,Oukuki,Uukuki,Oukuki
,Eyapula,Eyapula,Ehapela,Eyapele,Eyapela/oshihape,Oshiyapela / Eyapela,Eyapela/oshihape,Oshihapele
,Uusila,Uusila,Uusila,Uusila,Uusila,Oufila,Uusila,Oufila
,Osuuka,Osuuka,Osuuka,Osuuka,Osuuka,Osuuka,Osuuka,Osuuka/oshuuka 
,Omahangu,Omahangu,Omahangu,Omahangu,Omahangu,Omahangu,Omahangu,Omahangu
,Ombike,owalende,Ombike,Owalende,Ontaku,Oshikundu / Oshinwa,Ontaku,Oshikundu / 
,Omalovu giilya,omalovu giilya,Omalovu Giilya,Omalovu yiilya,Omalovu/oshumbu,"Omalodu, Otombo, Ombike",Omalovu/oshumbu,"Omalodu, Otombo, Ombike"
,Omboloto,Omboloto,Omboloto,Omboloto,Omboloto,Omboloto,Omboloto,Omboloto
,Ondjema,ondjema,Onjema,Ondjema,Ondjema,Ongema,Ondjema,Ondjema
,Ombuta,ombuta,Ombuta,Ombuta,Ombuta,Ombuta,Ombuta,Ombuta
,Omakunde,omakunde,Omakunde,Omakunde,Omakunde,Omakunde,Omakunde,Omakunde
,Otee,otee,Otee,Otee,Otee,Otee,Otee,Otee
,Okoofi,okoofi,Okoothiwa,Okoofi,Okofi,Okofi,Okofi,Okaofiwa
,Onamunate,onamunate,Onanate,Onaanate,Oshinamunote,Onamunate,Oshinamunote,Onamunate
,Osindo,okasindo,Okasindo,Okanguto,Osido,Olunguto,Osido,Onguto
,Osindo yeke,okafoloko,Okafoloko,Okafoloko,Olufoloko,Ofoloka,Olufoloko,Ofoloko
,Ombele,oshimbele,Ombele,Ombele,Ombele,Ombele,Ombele,Ombele
,Oshikaha,oshikaha,Eke,Onda kuta,Eke,Eke / Eenyala,Eke,Eke / Eenyala
,Oluko,oluko,Oluko,Oluko,Oluko,Oluko,Oluko,Oluko
,Omulilo,omulilo,Olilo,ondilo,Omulilo,Omundilo,Omulilo,Omundilo
,Omulilo gwokuteleka,omulilo,Olilo Gokuteleka,ondilo,Omulilo gokuteleka,Ediko,Omulilo gokuteleka,Edjiko
,Okapalwa,okapalwa,Okapalwa,okapalwa,Okapalwa,Okapalwa,Okapalwa,Okapalwa
,Omashini,Omahini,Omashini,okapalwa,Omashini,Oshini,Omashini,
,Gamena,okugamena,Gamena,okuyamena,Okugamena,oku amena,Okugamena,Okwaamena
,Oha gamene aanona,oha gamene uunona,Ohagamene uunona,ohayamene unona,Ohagamene uunona,Oha amene uunona,Ohagamene uunona,Oha amene ounona 
,Popya,popya,Popya,popya,Popya,popya,Popya,Popya/tumbula
,Onyama,onyama,Onyama,ombelela,Onyama,ombelela,Onyama,Ombelela
,Onda lya onyama mokambiga. ,ondalya onyama mokambiga,Onda Lyamo Onyama Mombiga,ondalya ombelela mokambiya,Ondalya mo onyama mombiga,onda lya ombelela mokambiya,Ondalya mo onyama mombiga,Ondalya mo ombelela mombiya
,Omayeletumbulo,Omayeletumbulo,Omayeletumbulo,omayele tumbulo,Omayeletumbulo,omayeletumbulo,Omayeletumbulo,Omayeletumbulo
,Edhina,edhina,Edhina,evina,Edhina,edhina,Edhina,Edina
,Edhina lyoye ongoye lye. ,Edhina lyoye olye?,Edhina Lyohe ole,evina lyoye oyeelye,Edhina lyoye ongwee le? ,edhina loye ove lye,Edhina lyoye ongwee le? ,Edina loye oove lye? 
,okaana kameme,Okanona kameme ,Okanona kameme,okaana kameme,Omnona gwameme,Okaana ka meme ,Omnona gwameme,Okaana kameme
,Egumbo olo lo,Egumbo olyo ndyo,Egumbo olyondo,eumbo olyondjo,Egumbo olyo ndjoka,Eumbo olo lo,Egumbo olyo ndjoka,Eumbo olo ndo
,Ondi zi po paife,Otandi zi po ngaashingeyi,Andizimo payife,ondizipo paife,Otenzi po paife,Ohai di po paife,Otenzi po paife,Andi djipo paife
,Takamifa ayishe,Takamitha ayihe,Takamitha Ayishe,takamisha ayihe,kotokela aihe,Takamifa aishe,kotokela aihe,kotokela ayihe
,Omutse,omutse,Ontse,omutwe,Omutse,Omutwe,Omutse,Omutwe
,Omafufu,omafufu,Eeshwiiki,eehuki,Omafufu,Eexwiki,Omafufu,Eehuki
,Omesho,omeho,Omesho,omaiho,Omesho,Omesho,Omesho,Omeho
,Eyulu,eyulu,Eyulu,eulu,Eyulu,Eyulu,Eyulu,Eyulu
,Omatsi,omakutsi,Ekutsi,omakutwi,Omakutsi,Omakutwi,Omakutsi,Omakutwi
,Okana,okana,Okana,okanya,Okana,Okanya,Okana,Okanya
,Epepe,epepe,Epepe,epepe,Epepe,Epepe,Epepe,Epepe
,Ombunda,ombunda,Ombunda,ombunda,Ombunda,Ombuda,Ombunda,Ombuda
,Omhooko ,omayako,Omooko,omaako,Omaako,Omaoko,Omaako,Omaako
,Oonyala,oonyala,Eenyala,eeyala,Omake,Omake/Eenyala,Omake,Omake/Eenyala
,Ontulo,ontulo,Ontulo,onhulo,Chest,Onulo,Chest,Onulo
,Omagundji,omagundji,Omagundji,omaundji,Omagundji,Omavele,Omagundji,Omavele
,Ezimo,epunda,Mepunda,epunda,Epunda,Edimo,Epunda,Epunda/edjimo
,Omatako,omatako,Omatako,omatako,Omatako,Omatako,Omatako,Omatako
,Omagulu,omagulu,Omagulu,omaulu,Omagulu,Omaulu,Omagulu,Omaulu
,Ongolo,ongolo,Eengolo,ongolo,Ongola,Ongolo,Ongola,Ongolo
,Ompadhi,ompadhi,EEmhadhi,omhavi,Ompadhi,Omhadi,Ompadhi,Omhadi
,Ominwe,ominwe,Eenwe,ominwe,Ominwe dhokompadhi,Ominwe,Ominwe dhokompadhi,Ominwe
,Omayego,omayego,Omahego,omayeo,Omayego,Omayo,Omayego,Omayoo
,Oombezi,oombenzi,Embezi,eembezi,Ombezi,Eendjedi,Ombezi,Eembedji
,Oopela,oopela,Eepela,eepela,Eepela,Eepela,Eepela,Eepela
,Omuti,omuti,Onti,omiti,Omiti,Omiti,Omiti,Omiti
,owenda,owenda,Owenda,oenda,Owenda,Ovenda,Owenda,Ovenda
,Okapangelo,okapangelo,Okapangelo,okakinika,Okapangelo,Okapangelo,Okapangelo,Okapangelo
,Oshi pangelo,oshipangelo,Otshipangelo,oshipangelo,Oshipangelo,Oshipangelo,Oshipangelo,Oshipangelo
,Ndohotola,ondohotola,Ondohotola,ondokotola,Dohotola,Ndokotola/ Omupangi,Dohotola,Ndokotola
,Omukolo,omukolo,Okolo,onkolo,Omukolo,Omukolo,Omukolo,Omukolo
,Eshikisha,eshikisha,Eshikisha,eshikisha,Eshikisha,Eshikisha,Eshikisha,Epuma
,Oshimela,oshimela,Otjimela,oshimhela,Oshimela,Oshimela,Oshimela,Oshimela
,Okati kokwiikusha monana,okakombe kokomayego,Okambolosela,okamblasha,Okati komayego,Okati kokomayo,Okati komayego,Okati kokomayoo
,Oshipelende,oshipelende,Otshipelende,oshipelende,Oshipelende,Oshipelende,Oshipelende,Oshipelende
,Omya,ompya,Ompya,ochooka,Ompya,Omya,Ompya,Omya
,Opena yohinga,opena yohinga,Opena,opena yo hinga,Opena,Opena,Opena,Opena
,Opena yekala,opena yekala,Opena Hekala,opena yohinga,Opena yekala,Opena yekala,Opena yekala,Opena yekala
,Ombapila,ombapila,Ombapila,ombapila,Ombapila,Ombapila,Ombapila,Ombapila
,Embo,embo,Embo,embo,Embo,Embo,Embo,Embo
,Ekonaakono,ekonakono,Ekonakono,ekonakono,Ekonakono,Ekonaakono,Ekonakono,Ekonaakono
,Onzapo,onzapo,Onzapo,ozapo,Onzapo,Odjapo,Onzapo,Odjapo
,Omandewulo pukululo,Omadhewulo pukululo,Omadhewulo pukululo,Omaveulo pukululo,Oshigongilonga,Oshihongiilonga/ Owekshopa,Oshigongilonga,Oshoongi-ilonga
,Uunongononi,uunongononi,Uunongononi,uunongononi,uunongononi,Ounongononi,uunongononi,Ounongononi
,Omwaalu,omwaalu,Omwaalu,omwaalu,Omwaau,Omwaalu,Omwaau,Omwaalu
,Oshiingilisa,oshiingilisa,Otshingilisa,oshiingilisa,Oshingilisa,Oshiinglisa,Oshingilisa,Oshiingilisa
,Oshiafrikansa,oshimbulu,Otshimbulu,oshimbulu,Oshimbulu,Oshimbulu,Oshimbulu,Oshimbulu
,Oshigermeni,Oshigermeni,Otshindjemeni,oshijemeni,Oshindowishi,Oshindowishi,Oshindowishi,Oshindowishi
,Oshiputu,oshiputu,Otshiputu,oshiputu,Oshiputu,Oshiputu,Oshiputu,Oshiputu
,Oshispanish,Oshispanisha,Otshispanisha,oshispenisha,Oshispania,Oshispania,Oshispania,Oshispania
,Okompiuta,okompiuta,Okompiuta,okompiuta,Oradio yomuzizimba,Eekompiuta,Oradio yomuzizimba,Eekombiuta
,Omukuluntusikola,omukuluntusikola,Okuluntusikola,onkulunusikola,Omukuluntusikola,Omukulunhufikola,Omukuluntusikola,Omukulunhusikola
,Amushanga,amushanga,Atshanga,amushanga,Aamushanga,,Aamushanga,Hamushanga
,Ondondo,ondondo,Ondondo,ondondo,Ondondo,Ondodo,Ondondo,Ondodo/onghatu
,Ondjato,ondjato,Ondjato,ondjato,Ondjato,Ondjato,Ondjato,Ondjato
,Etanga,Etanga,Etanga,etanga,etanga,etanga,etanga,
,Ombwa,katali,ombwa,ombwa,ombwa,ombwa,ombwa,Ombwa
,okambishi,okambishi,okambishi,okambishi,okambishi,okambishi,okambishi,Okambishi
,okadhila,okadhila,okadhila,okavila,okadila,okadila,okadila,Okadila
,oshi,ohi,oshi,ohi,oshi,oshi,oshi,Eehi
,Okandimba,okalimba,Okalimba,okalimba,okalimba,Okandimba,okalimba,Okalimba
,ombuku,ombuku,Ombuku,omhuku,ombuku,omhuku,ombuku,Omhuku 
,Onghambe ,onkambe,Onkambe,oghambe,Onkambe,oghambe,Onkambe,Onghambe
,Ongobe ,ongombe,Ongombe,ongombe,Ongombe,ongombe,Ongombe,Ongobe 
,Odi ,onzi,Onzi,ozi,Onzi,onzi,Onzi,Odi
,Embungu ,embungu,Embungu,embungu,Embungu,Embungu,Embungu,Embungu
,Onduli ,onduli,Onduli,Onduli,Onduli,onduli,Onduli,Onduli
,Ongolo,Ongolo,Ongolo,ongolo,Ongolo,Ongolo,Ongolo,Ongolo
,Edila lomomeva ,Endhila homomeya,Odhila homomeya,owili yomomeya,Ondhila yomomeya,Odila yomomeya,Ondhila yomomeya,odila yomomeva
,Oshi ,Ohi,Ohi,ohi,Oshi,oshi,Oshi,ohi
,Ombwa-yomomeya ,ombwa yomomeya ,Ombwa homomeya,ombwa yomomeya,Omba yomomeya,Ombwa-yomomeva ,Omba yomomeya,ombwa yomomeva
,Oshi ,ohi,Ohi,ohi,ohi,oshi,ohi,ohi
,Omakolofishi ,ekolofishi,Ekolofishi,ekolofisha,Ekolofishi,Omakolofishi ,Ekolofishi,
,Ongholokosa ,onkonkolose,eenkasa,oghosa,Ongholokosa ,Ongholokofya ,Ongholokosa ,ongholokosa
,okambilimbili,okambilimbili,onkanga,ekanga,onkanga,Onghanga ,onkanga,onghanga
,onyushi,onyushi,Onyutshi,onyiki,onyushi,onghiki,onyushi,onyushi
,okadhidhi,okadhidhi,Odhidhi,okavivi,okadhidhi,Omhuka ,okadhidhi,okadidi
,ewiliwili,ewiliwili,Ewiwili,ewiiwii,ewiliwili,Eluviluvi ,ewiliwili,
,Efuma ,efuma,Efuma,efuma,efuma,Efuma ,efuma,efuma
,Onghili ,onkili,onghili,oghili,onkili,Onghili ,onkili,onghili
,Ongadu ,ongandu,Ongandu,ongadu,Ongadu ,Ongadu ,Ongadu ,ongadu
,Oghalo nawa,Oghalo nawa,Onkalo nawa,nawa lela,ongalo-nawa,Oghalo nawa,ongalo-nawa,
,Oukolele,uukolele,Uukolele,uukolele,uukolele,Oukolele,,
,Undjolowele ,uundjolowele,uundjolowele,uundjolowele,uundjolowele,Uundjolowele ,,
,Ukulele uwa ,Uundjolowele,uukolele,uukolele uli nawa,eendjolowele,Ukulele uwa ,,
,oonkondo,oonkondo,eenghondo,eenghono,eenkondo,Itungifo lutu ,,
,iitungithilutu,iitungithilutu,iitungitho lutu,iitungifolutu,iitungithilutu,Iitungifilutu,,
,Ukolele wopokati ,uukolole wopokati,Uukolele wopokati,Uukolele wopokati,uukolele wopokati,Oukolele wopokati ,,
,Mwawedwa ,mwagwedhwa,Mwagwedhwa,mwawevwa,mwagwedhwa,Ndawedamo,,
,Oku kufamo/mwadja ,okukuthamo,Okukuthamo,mwakufwa,okokuthamo,Oku kufamo/mwadja ,,
,Okuhapupaleka,Okwiindjipaleka,Okwiindjipaleka,okuindjipaleka,okwiindjipaleka,Okuhapupaleka,,
,Oku topola ,okutopola,okutopola,okutopola,pokutopola,okutopola,,
,Okulondeka ,okulondeka,okulodeka,okulondeka,okulondeka,okulondeka,,
,Oshipundi,Oipundi,Otjipundi,Oshipundi,,,,
,Eepelesenda ,oopelesenda,EEpelesenta,eepelesenda,oopelesenda,EEpelesenta,,
,Ombele,Oimbele,Ombele,Ombele,ombelee,Ombele,ombelee,ombele
,Elima,oikulo,okalima,oshilima,elima,oshikulo,Elimaa,elima
,eembe,oombe,Eembe,eembe,eembe,Eembe,eembe,
,eenyadi,oonyandi,Eenyadi,eenyandi,eenyandi,Eenyadi,enyandi,
,Eendunga,oondunga,Eendunga,Eendunga  ,eendunga,Endunga,endunga,
,Eengongo,Oongongo,Eengongo,Eengongo,eengongo,eengongo,eengongo,eengongo
,Eentantahe,Oontantahe,oontantahe,Ehelele,eentantashe,eemamashe,eendandashe,eendandashe
,Eengeshu,Oongeshu,Eengehu,Eengehwa,eengeshu,Eengungu,eengeshu,
,Eendawo,Oondago,Eendago,Eendau,eendago,eendawo,eendengo,
,Eemeke,Oombeke,Eemeke,Eemeke,eembeke,Eemeke,eembeke,
,Eenkenkete,Oonkekete,Eenghekete,Eenghekete,eentshentshete,Eenghekete,eenkekete,
,Eembutu,Oombutu,Eembutu,Eembutu,eembutu,eembutu,eembuto,
,Omado,Omavo,omavo,Omavo,omavo,omado,omavo,
,onguti,Onguti,Onguti,Onghuti,onguti,Onghuti,onguti,
,okafifi,Nashiishika,Shiishika,Okatiitii,okathiithika,fifi,okathithi,
,onghanga,Onkanga,Onkanga,Onghanga  ,onkanga,Onghanga,onkanga,
,Ondjuhwa,Ondjuhwa,Ondjushwa,Ohuhwa,ondjushwa,Ohuhwa,ondjushwa,
,shilumbamba,shilumbamba,Shilumbamba,Lumbamba,lumbamba,lumbamba,shilumbamba,
,ehwiyu,Ehwiyu,Ohuwi,Ehwii,eshwiyu,Ehwiu,eshiwi,
,Ohwiloli,Ohwiloli,swiiloli,Ohilowa,swiiloli,Ohwiloli,eswiiloli,
,Oshiyandja,Oshiyandja,endjwa,,omandjwa,Oshiyandja,enza,
,omakunde,omakunde,omakunde,Omakunde,omakunde,omakunde,omakunde,omakunde
,omapungu,omapungu,omapungu,Omapungu,omapungu,omapungu,omapungu,
,Omahangu,Omahangu,omaangu,Omahangu,omahangu,omahangu,omahangu,
,Eefukwa,Oofukwa,eefukwa,Eefukwa,eefukwa,eefukwa,eefukwa,
,Efakulafa,Oothakulatha,eethakulatha,Eefafalafa,ethakulatha,eefa,eethakulatha,eefafalafa
,Omafuma,Omafuma,omafuma,Omafuma,omafuma,omafuma,omafuma,omafuma
,Ohema,Onguwo,ohema,Ohema,ohema,ohema,ohema,ohema
,Ombulukweya,Ombulukweya,ombulukweya,Ombulukweya,ombulukweya,ombulukweya,ombulukweya,ombulukweya
,Ombindja,Ombindja,ombindja,Ombindja,ombindja,ombindja,ombindja,ombidja
,Ongaku,Olukaku,ongaku,Onghaku,ongaku,onghaku,olukaku,
,Ondjatha,Ondjatha,ondjatha,Ondjafa,ondjatha,ondjafa,ondjatha,
,Okabindja,Ombindja,okambindja,Ombindja,ombindja,Okambidja,okambindja,
,Okapendi,Odholo,okapendi,Okavolo,okapendi,Okapendi,okapendi,
,Oshikuusinga,Oshikuusinga,otshikuusinga,Oshikuusinga,oshikuusinga,Oshiwilo,oshikuusinga,
,oshikumbatha,Oshikumbatha,ekumbatha,Ekumbafa,ekumbath,Oshikumbafa,oshikumbatha,
,Oshikombe,Oshikombe,otshikombe,Oshikombe,oshikombe,Oshikombe,oshikombe,
,Oshimopa,Oshimopa,emopa,Oshimopa,otshimopa,Oshimopa,oshimopa,
,Oku komba,Oku komba,oku komba,Oku komba,oku komba,Oku komba,oku komba,
,Oku mopa,Oku mopa,oku mopa,Oku mopa,oku mopa,Oku mopa,oku mopa,
,Oshitaafula,Oshitaafula,oshitaafula,Oshitaafula,oshitaafula,Oshitaafula,oshitaafula,
,Okasindo,Okasindo,okasindo,Okanguto,okasindo,Onguto,okasindo,
,Esiga,Esiga,esiga,Esiya,esiga,Efiya,esiga,
,Iikuni,Iikuni,iikuni,Iikuni,iikuni,Iikuni,iikuni,
,Okapalwa,Okapalwa,okapalwa,Okapalwa,okapalwa,Okapalwa,okapalwa,
,Oshivelewa,Osheelelwa,omweelelo,Omweelelo,omweelelo,Oshivelelwa,osheelelwa,
,Omukaga,Omukaga,omukaga,omukaa,omukaga,Omukaa,omukaga,
,okafoloko,Okafoloko,okafoloko,Okafoloko,okafoloko,Ofoloko,okafoloko,
,Okombifa,Okombitha,okombitha,Okombifa,okombitha,Okombifa,okombitha,
,okalapi,Okalapi,okalapi,Okalapi,okalapi,Okalapi,okalapi,
,Ombapila,Ombaapila,ombaapila,Ombapila,ombapila,Ombapila,ombaapila,
,embo,Embo,embo,Embo,embo,Embo,embo,
,Omulongi,Omulongi,omulongi,Omulongi,omulongi,Omulongi,omulongi,
,Omulongwa,Omulongwa,omulongi,omulongwa,omulongwa,Omuhongwa,omulongwa,
,Omundohotola,Omundohotola,omundokotola,Ondokotola,omundokotola,Omundokotola,ondohotola,
